目标词,匹配词,相似度,是否匹配
白墙黑瓦,3+2,0.963,True
飞檐翘角,3+2,0.899,True
玻璃幕墙,2+1,0.653,False
街巷,3+2,0.917,True
水波荡漾,3+1,0.644,False
祥符桥,3+2,0.981,True
平波桥,3+2,0.95,True
卧虹桥,3+2,0.936,True
小店,2+1,0.813,True
咖啡香,2+1,0.719,False
茶香,3+4,0.825,True
手工艺品,3+4,0.711,False
砖木二层结构,3+2,0.543,False
大片青砖墙,3+2,0.742,True
水泥装饰线条,3+2,0.683,False
几何装饰花纹,3+2,0.654,False
中式琉璃花窗,3+2,0.627,False
石料门框,3+2,0.776,True
黑漆厚木门扇,3+2,0.72,False
风火山墙,3+2,0.628,False
西式装饰构件,3+2,0.649,False
上海市优秀历史建筑,3+2,0.674,False
外观保存情况甚佳,3+2,0.621,False
潮汕英歌舞,3+3,0.814,True
中华战舞,4+1,0.821,True
舞者,4+1,0.595,False
步伐,5+2,0.84,True
身法,3+3,0.809,True
英歌舞,3+3,0.887,True
蛟龙出海,3+3,0.673,False
刚劲迅猛,5+3,0.652,False
彩凤展翅,3+3,0.769,True
灵动轻盈,5+2,0.838,True
中华文化,3+3,0.761,True
传承,3+3,0.811,True
春节,4+1,0.696,False
活动,4+1,0.723,True
文化街区,2+1,0.708,False
祥符桥传统风貌街区,3+2,0.792,True
老街新造,3+2,0.918,True
散步,4+1,0.674,False
解决晚饭,4+1,0.755,True
河边,3+1,0.95,True
业态,2+1,0.758,True
书店,2+1,0.659,False
美学生活空间,2+2,0.527,False
餐厅,2+1,0.681,False
奶茶店,2+1,0.694,False
咖啡馆,2+1,0.642,False
酒吧,2+1,0.649,False
茶室,2+1,0.834,True
涂鸦滑板的运动场地,2+1,0.528,False
落日音乐会,4+1,0.561,False
花食酒肆,2+1,0.883,True
夏日限定泳池,2+3,0.413,False
露天电影,4+1,0.655,False
山外事茶吧,2+1,0.955,True
全景,3+1,0.804,True
香茗,2+1,0.86,True
球形灯,2+3,0.746,True
驱蚊工作,2+3,0.478,False
灯火辉煌,5+2,0.889,True
浪漫氛围,5+2,0.596,False
拍照,4+1,1.0,True
拱墅运河体育公园,2+1,0.608,False
大兜路历史文化街区,3+2,0.784,True
小河历史文化街区,3+2,0.758,True
小河公园,2+1,0.68,False
拱宸桥西历史文化街区,3+2,0.779,True
传统风貌,3+2,0.771,True
现代活力,5+2,0.708,False
宋代运河文化,3+3,0.675,False
市井风貌,3+2,0.856,True
古建元素,3+2,0.69,False
现代风格,3+2,0.631,False
江南风韵,3+2,0.916,True
新潮业态,2+1,0.728,True
祥符记号,3+3,0.826,True
祥符市井文化,3+3,0.837,True
花木文化,3+3,0.717,False
茶道文化,3+3,0.592,False
美术馆,2+1,0.865,True
餐饮,2+1,0.65,False
滑板运动品牌,4+1,0.551,False
高品质公共空间,2+2,0.434,False
茶冻,3+4,0.852,True
亲切,5+3,0.926,True
参观,4+1,0.83,True
茶叶种类,3+4,0.783,True
茶袋,2+3,0.556,False
尺八,3+3,0.764,True
葫芦丝,3+4,0.9,True
古琴,3+3,0.94,True
茶点,3+4,0.772,True
精致,5+2,0.923,True
红茶,3+4,0.813,True
桂花蜜糖,3+4,0.805,True
甜,3+4,0.859,True
味,3+4,0.884,True
古色古朴,3+2,0.883,True
融合,5+2,0.606,False
居民活动,4+1,0.743,True
闹中取静,5+2,0.765,True
氛围,5+2,0.741,True
舒适,5+2,0.726,True
平和,5+2,0.636,False
江南风格,3+2,0.822,True
古街道,3+2,0.976,True
文创园,2+1,1.0,True
厂房结构,2+1,0.634,False
瞻淇鱼灯,3+4,0.859,True
祥符老街,3+2,0.972,True
吉祥里,3+2,0.887,True
跨年氛围,5+2,0.76,True
舞动,4+1,0.659,False
鱼灯,3+4,0.835,True
相机,2+3,0.764,True
跨年活动,4+1,0.82,True
烟火大会,4+1,0.895,True
天台快闪音乐会,4+1,0.51,False
主办方会玩,5+2,0.684,False
小鱼,3+1,0.913,True
人山人海,5+2,0.689,False
热闹非凡,5+2,0.861,True
桥西直街,2+2,0.702,False
粮仓艺术公园,2+1,0.683,False
丝联166,2+1,0.633,False
绿城吉祥里,2+1,0.703,False
运河天地,2+1,0.827,True
武林夜市,2+1,0.835,True
小河直街,3+2,0.81,True
古色古香,3+2,0.924,True
商场,2+1,0.75,True
安静,5+2,0.736,True
晚风,5+2,0.735,True
河,3+1,0.906,True
亭子,2+1,0.88,True
唱歌,4+1,0.706,False
和声,5+3,0.801,True
时间暂停,5+3,0.591,False
放假,4+1,0.672,False
小河对面,3+1,0.921,True
开发,5+1,0.648,False
不大,5+1,0.603,False
逛逛,4+1,0.806,True
不错,5+2,0.921,True
出圈,5+3,0.814,True
烟雨江南,3+2,0.869,True
西湖,3+1,0.847,True
法喜寺,2+1,0.8,True
鲜椒鱼蛙,3+4,0.731,True
杭州博物馆,2+1,0.917,True
棒老二烈火烤活鱼,3+4,0.799,True
市井生活,5+2,0.771,True
艺文社交,2+1,0.641,False
潮趣大赏,4+1,0.843,True
乌瓦黛墙,3+2,0.82,True
老桥粮仓,3+2,0.762,True
历史建筑,3+2,0.793,True
河道景观,3+1,0.877,True
文旅新地标,3+5,0.533,False
商业消费场景,2+1,0.688,False
民宿酒店业态,2+1,0.592,False
文化产业落地,3+3,0.812,True
康养业态引入,2+1,0.463,False
杭州市井味道,5+2,0.823,True
江南格调,3+2,0.926,True
祥符桥头,3+2,0.961,True
滚灯舞,3+3,0.761,True
布置,2+1,0.832,True
吃饭,5+2,0.785,True
老城,3+2,0.898,True
记忆,5+3,0.582,False
宝藏,5+3,0.698,False
十三湾巷,3+2,0.76,True
城市病,5+1,0.605,False
堵车,5+1,0.328,False
停车难,5+1,0.477,False
停车场,2+3,0.616,False
车位,2+3,0.629,False
联动,4+1,0.699,False
升级,5+1,0.593,False
步行圈,2+2,0.689,False
地铁站,2+3,0.568,False
公交站,2+3,0.503,False
小红车点,2+3,0.551,False
屋顶农场,2+1,0.531,False
绿色出行,5+1,0.52,False
骑车,4+1,0.55,False
种菜,4+1,0.783,True
公共空间,2+2,0.531,False
街廊外摆,2+2,0.784,True
树梢街区,2+2,0.702,False
浪漫约会,4+1,0.532,False
看展,4+1,0.716,False
露营,4+1,0.661,False
遛娃,4+1,0.609,False
滑板,2+3,0.631,False
老建筑,3+2,0.73,True
屋顶,2+1,0.664,False
天空球场,2+1,0.72,False
打球,4+1,0.676,False
节假日,4+1,0.851,True
市集,2+1,1.0,True
静水厅,2+1,0.784,True
脱口秀,2+1,0.793,True
越剧,3+3,1.0,True
话剧,4+1,0.818,True
城市客厅,2+1,0.636,False
魔法,3+3,0.681,False
保留,5+2,0.724,True
恢复,5+1,0.57,False
尺度,5+2,0.591,False
密度,3+1,0.461,False
杭州老城,3+2,0.789,True
小尺度,3+2,0.649,False
高密度,3+1,0.509,False
城市肌理,3+2,0.695,False
老建筑安全,3+2,0.604,False
新功能,2+1,0.668,False
廊桥,3+2,0.955,True
孤岛组团,3+1,0.564,False
地库,2+3,0.814,True
青砖黛瓦,3+2,0.908,True
建筑诗,3+2,0.778,True
历史风貌,3+2,0.965,True
现代元素,3+2,0.584,False
茶酒故事,3+4,0.726,True
百年祥福桥,3+2,0.909,True
千年换塘河,3+1,0.719,False
地堡建筑,2+1,0.725,True
老茧行,2+1,0.82,True
老粮仓,2+1,0.809,True
城市更新,5+1,0.743,True
业态引入,2+1,0.68,False
历史文化,3+3,0.905,True
古老与现代,5+2,0.797,True
茶馆文化,3+3,0.633,False
室外露充场,2+2,0.679,False
新潮的滑板店,2+1,0.648,False
网红书店,2+1,0.651,False
时尚元素,5+2,0.811,True
餐饮美食,3+4,0.901,True
不同年龄层,5+1,0.571,False
不同兴趣爱,4+1,0.536,False
千年运河文化,3+3,0.616,False
全新姿态,5+2,0.721,True
京杭大运河,3+1,0.749,True
钱塘江,3+1,0.851,True
历史见证者,3+2,0.809,True
现代都市生活,5+2,0.634,False
青石板,3+2,0.781,True
古桥,3+2,0.98,True
历史故事,3+3,0.73,True
现代生活节奏,5+2,0.719,False
漕运文化,3+3,0.711,False
活化石,3+2,0.748,True
南宋,3+3,0.818,True
运河文化,3+3,0.633,False
古桥河水,3+1,0.921,True
老宅韵味,3+2,0.834,True
现代设计元素,3+2,0.708,False
传统,3+3,0.79,True
创新,5+1,0.534,False
市井小巷,3+2,0.965,True
文艺小店,2+1,0.793,True
生活美学,5+2,0.703,False
祥符街道,2+1,0.937,True
山外事,5+2,0.894,True
茶馆,2+1,0.875,True
武夷山岩茶,3+4,0.73,True
布衣八音,3+3,0.793,True
非遗传承人,3+3,0.647,False
乐器,3+3,0.692,False
发源地,3+3,0.899,True
茶叶文化,3+3,0.573,False
管乐,3+3,0.847,True
打卡机位,2+3,0.631,False
周末,4+1,0.552,False
人也不多,5+2,0.535,False
走走,4+1,0.71,False
舒服,5+2,0.822,True
墨绿色,3+2,0.811,True
复古,3+2,0.852,True
器物,2+3,0.705,False
艺术,3+3,0.698,False
日常,5+2,0.854,True
治愈,5+3,0.509,False
文旅高地,3+5,0.618,False
打卡圣地,5+1,0.863,True
设计,2+1,0.779,True
桥,3+2,0.975,True
有意思,5+3,0.75,True
好拍,5+2,0.903,True
美,5+2,0.947,True
西湖边,3+1,0.853,True
全季,2+1,0.566,False
风景,3+1,0.703,False
山上,3+1,0.629,False
楼梯,2+1,0.613,False
南北馆,2+1,0.848,True
漂亮文物,3+3,0.7,False
大IP,3+3,0.86,True
中古店,2+1,0.828,True
美食,3+4,1.0,True
连廊,2+1,0.923,True
动线,2+2,0.74,True
空间优势,2+2,0.553,False
空间感受,5+2,0.635,False
室外体验,4+1,0.69,False
地铁口联通,2+3,0.494,False
餐饮品牌,2+1,0.668,False
体验业态,2+1,0.589,False
街区,2+1,0.934,True
文化地标,3+2,0.806,True
文艺复兴,3+3,0.738,True
宋代建筑,3+2,0.708,False
文化符号,3+3,0.84,True
现代建筑材料,3+2,0.592,False
传统意蕴,3+3,0.821,True
特色首席商业街区,2+1,0.745,True
科肯平葺金属瓦铺装,3+2,0.504,False
屋面干净利落,3+2,0.685,False
祥符,3+2,0.923,True
皇家花木基地,2+1,0.675,False
大中祥符,3+3,0.867,True
五里塘河,3+1,0.911,True
运河,3+1,0.732,True
商贾云集,3+3,0.732,True
祥符集镇,3+2,0.885,True
花木名冠江南,3+1,0.905,True
花道粮道,3+4,0.83,True
清末民初,3+2,0.479,False
祥符茧行旧址,3+2,0.833,True
五十年代,3+3,0.608,False
祥符桥粮仓,2+1,0.822,True
全国文保单位,3+2,0.551,False
五孔四墩,3+2,0.808,True
明石暗木,3+2,0.648,False
南宋时期,3+3,0.857,True
桥通长28米,2+2,0.655,False
明嘉靖二十二年1543重修,3+2,0.457,False
明代石梁桥,3+2,0.969,True
桥面望柱头,3+2,0.927,True
雕饰覆莲,3+2,0.818,True
石狮,3+2,0.792,True
技法纯熟,3+4,0.645,False
形象生动,5+3,0.755,True
保护祥符桥,3+2,0.861,True
宦塘河,3+1,0.934,True
吉祥里历史风貌街区,3+2,0.81,True
烟火气,5+2,0.799,True
潮流风尚,3+3,0.897,True
古朴风霜,3+2,0.962,True
现代意匠,3+2,0.735,True
永福寺,3+2,0.932,True
花鸟图卷,3+2,0.823,True
梅花,3+4,0.906,True
花鸟卷山河社稷图,3+3,0.617,False
瑜伽,4+1,0.613,False
春天,3+1,0.528,False
换春装,5+2,0.787,True
大红色,3+2,0.702,False
古荡地铁口,2+1,0.63,False
合影,4+1,0.858,True
杭州电视台,2+1,0.796,True
citywalk,4+1,0.753,True
地道的杭州人,5+3,0.777,True
杭州话,3+3,0.802,True
新街老街,3+2,0.84,True
鲜活,5+2,0.851,True
历史文化街区,3+2,0.835,True
杭州历史文化,3+3,0.686,False
清代中晚期,3+2,0.725,True
民国时期,3+3,0.675,False
改建,2+1,0.701,False
建筑风貌,3+2,0.794,True
传统文化,3+3,0.921,True
运河生活,5+2,0.77,True
文化商业街,2+1,0.684,False
商铺,2+1,0.859,True
居所,2+1,0.862,True
小河很想你,5+3,0.574,False
拷会儿,4+1,0.726,True
约会,4+1,0.622,False
酱园喜从天降,3+4,0.879,True
酱醋油酒茶,3+4,0.778,True
情系千家,5+3,0.932,True
酸甜苦辣咸,3+4,0.87,True
对联,3+3,0.849,True
酱作老店,2+1,0.788,True
河埠头,3+1,0.858,True
临河井,2+2,0.739,True
孵坊遗址,3+2,0.736,True
邈墨茶馆,2+1,0.792,True
种蛋,3+4,0.487,False
小鸡,3+4,0.694,False
远近闻名,5+2,0.672,False
小河驿,2+1,0.873,True
国际昆曲会客厅,2+1,0.721,True
昆曲艺术家,3+3,0.693,False
杨崑老师,3+3,0.711,False
个人工作室,2+1,0.619,False
传播窗口,3+3,0.607,False
唱腔,3+3,0.885,True
通体舒坦,5+3,0.717,False
姚宅,2+1,0.928,True
簪花小院,2+1,0.831,True
永达木行,2+1,0.927,True
自行设计,5+3,0.75,True
建造,2+1,0.839,True
二层砖木结构住宅建筑,3+2,0.608,False
传统住宅,3+2,0.663,False
近代城市住宅,3+2,0.643,False
转型,5+1,0.538,False
历史悠久,3+2,0.869,True
北宋,3+3,0.789,True
宋真宗,3+3,0.897,True
年号,3+3,0.83,True
重镇,3+2,0.836,True
水陆交通,2+3,0.56,False
枢纽,2+1,0.889,True
老杭州,3+5,0.798,True
茧行粮仓,2+1,0.755,True
清末民居,3+2,0.618,False
改造,3+2,0.663,False
开街,4+1,0.852,True
历史,3+3,0.803,True
尊重,5+3,0.615,False
现代生活方式,5+2,0.806,True
明代,3+2,1.0,True
重建,3+2,0.551,False
重点保护,3+2,0.586,False
新桥,3+2,0.918,True
古桥流水,3+1,0.96,True
江南良辰,5+3,0.886,True
凌霄花,3+1,0.898,True
漂亮书店,2+1,0.601,False
五福里建筑群,3+2,0.759,True
高档住宅区,2+1,0.702,False
龙翔桥,2+1,0.904,True
石库门里弄建筑,3+2,0.774,True
中西风格结合,3+2,0.717,False
青砖实砌,3+2,0.633,False
红木格窗,3+2,0.651,False
生活物品,2+3,0.664,False
巷子,3+2,0.981,True
生活气息,5+2,0.823,True
绿化植被,3+1,0.595,False
硬骨凌霄,3+2,0.782,True
飘香藤,3+1,0.906,True
葡萄,3+4,0.64,False
宝藏街区,3+5,0.754,True
晚饭,5+2,0.667,False
新店,2+1,0.709,False
关门,2+1,0.536,False
周年庆,4+1,0.663,False
人气,5+1,0.934,True
喝茶,2+1,0.946,True
水上巴士,2+3,0.4,False
武林码头,2+1,0.786,True
拱宸桥,3+2,0.969,True
游西湖,4+1,0.825,True
人少,5+2,0.786,True
新市古镇,3+5,0.612,False
水泥装饰,2+1,0.546,False
文化底蕴,3+3,0.935,True
独特魅力,5+3,0.713,False
烦恼,5+3,0.726,True
丰富多彩,5+2,0.773,True
几何书店,2+1,0.572,False
古装美女小姐姐,5+3,0.701,False
天台音乐会,4+1,0.524,False
邓丽君,3+4,0.902,True
歌曲,5+3,0.796,True
音乐,3+3,0.817,True
摇曳身姿,5+3,0.857,True
惬意,5+2,0.839,True
屏风,3+2,0.83,True
纹样,3+2,0.593,False
东方美学,3+3,0.704,False
现代审美,5+2,0.656,False
新中式,3+2,0.789,True
环境优美,5+2,0.737,True
宋韵,3+3,0.928,True
生活艺术,5+2,0.782,True
潮流,5+2,0.8,True
户外自然,3+1,0.664,False
国风运动会,4+1,0.699,False
花神集会,4+1,0.66,False
游园市集,4+1,0.882,True
文化创意街区,2+1,0.704,False
文旅消费,5+1,0.734,True
新兴聚集地,2+1,0.699,False
古建筑保护,3+2,0.654,False
旧街区改造,3+2,0.888,True
新商业开发,5+1,0.525,False
复合体,2+1,0.704,False
城市情结,5+3,0.694,False
水元素,3+1,0.478,False
滨水商业街区,2+1,0.784,True
逛吃逛吃,4+1,0.82,True
拍照打卡,4+1,0.931,True
花神活动,4+1,0.797,True
舟山海鲜面,3+4,0.865,True
十二花神巡游,4+1,0.578,False
运气针不戳,5+3,0.506,False
南派武术,3+3,0.574,False
地方戏剧,3+3,0.657,False
梁山好汉,3+3,0.781,True
英雄故事,3+3,0.579,False
刚劲有力,5+3,0.668,False
锣鼓,3+3,0.897,True
节奏,5+2,0.785,True
英雄豪迈,5+3,0.744,True
正义,5+3,0.506,False
勇气,5+3,0.611,False
荷尔蒙,5+3,0.478,False
敲锣打鼓,4+1,0.619,False
击棍起舞,4+1,0.772,True
热血贺岁,5+3,0.815,True
元宵气氛组,5+2,0.71,False
湖滨,3+1,0.864,True
西子连廊,2+1,0.904,True
浙江省文化馆,2+1,0.921,True
文艺赋美,5+2,0.731,True
盲盒音乐会,4+1,0.428,False
元宵节,3+4,0.763,True
民间舞蹈,3+3,0.532,False
舞步,4+1,0.712,False
最强元宵气氛组,5+2,0.721,True
非遗,3+3,0.809,True
鱼灯表演,4+1,0.699,False
圣诞装饰,3+3,0.603,False
积印章活动,4+1,0.667,False
灯笼,3+2,0.817,True
古筝表演,4+1,0.737,True
雪花,3+1,0.829,True
鱼灯活动,4+1,0.685,False
大鱼灯,3+3,0.815,True
传统江南院落,3+2,0.817,True
低密,3+1,0.899,True
空间规划合理,5+1,0.417,False
文艺店,2+1,0.771,True
老头油爆虾,3+4,0.586,False
美食店,2+1,0.805,True
文化,3+3,0.93,True
商业,5+1,0.617,False
古风庭院,3+2,0.822,True
现代设计,3+2,0.677,False
祥符长桌宴,3+4,0.716,False
杭州卤鸭,3+4,0.874,True
卤汁,3+4,0.824,True
鸭肉,3+4,0.943,True
酱香,3+4,0.937,True
糖醋里脊,3+4,0.682,False
外酥里嫩,3+4,0.85,True
酸甜可口,3+4,0.888,True
猪肉炖粉条,3+4,0.741,True
鲍鱼烧茄子,3+4,0.694,False
金汤酸菜鱼,3+4,0.749,True
精酿啤酒,2+3,0.792,True
咖啡,2+1,0.697,False
气泡水,3+4,0.552,False
繁华街区,3+2,0.907,True
古色古香屋檐,3+2,0.86,True
现代商铺,2+1,0.748,True
地域文化,3+3,0.823,True
奈雪,3+4,0.88,True
星巴克,2+1,0.656,False
觅香火锅,3+4,0.855,True
灯会,3+3,0.914,True
猜灯迷,4+1,0.775,True
舞狮,3+4,0.746,True
舞龙,4+1,0.925,True
传统年俗,3+3,0.707,False
非遗打铁花,3+3,0.731,True
风火轮,2+3,0.875,True
火壶,2+3,0.71,False
盒子灯,2+3,0.724,True
舞渔灯,4+1,0.702,False
变脸,3+3,0.791,True
傩戏,3+3,0.859,True
表演,4+1,0.748,True
过大年,4+1,0.794,True
民间年俗,3+3,0.786,True
传统活动,4+1,0.754,True
年味,5+2,0.891,True
热闹,5+2,1.0,True
潮汕英歌,3+3,0.837,True
密锣紧鼓,5+2,0.902,True
击棍声,3+3,0.803,True
吆喝声,5+2,0.879,True
韩信点兵,3+3,0.834,True
古战场,3+2,0.735,True
热血震撼,5+3,0.603,False
压迫感,5+2,0.75,True
勇士,4+1,0.771,True
赴汤滔火,5+3,0.759,True
浴血奋战,4+1,0.692,False
电影色调,5+2,0.693,False
羡野美术馆,2+1,0.837,True
艺术商店,2+1,0.682,False
展览空间,2+2,0.551,False
公共活动区,2+2,0.576,False
用色,3+2,0.671,False
金属感楼梯,2+1,0.57,False
布拉格红,3+2,0.684,False
小房间,2+2,0.569,False
光影效果,3+2,0.796,True
清冷,5+2,0.88,True
雨,3+1,0.441,False
独享,5+3,0.779,True
花,3+1,0.685,False
中心位置,2+2,0.597,False
诗与远方,5+3,0.871,True
造型,3+2,0.843,True
月季长廊,3+1,0.551,False
古祥符桥,3+2,0.958,True
祥符桥街区,3+2,0.878,True
花开吉祥,3+3,0.798,True
祥符花朝节,3+4,0.714,False
十二花神巡游盛典,4+1,0.602,False
柳浪闻莺,3+1,0.807,True
雷峰塔,3+2,0.79,True
三潭印月,3+1,0.577,False
花港观鱼,3+1,0.938,True
苏堤,3+1,0.893,True
曲院风荷,3+1,0.825,True
西泠印社,3+2,0.896,True
断桥残雪,3+1,0.755,True
杭州东站,2+1,0.787,True
杭州西子湖四季酒店,2+1,0.685,False
杭州法云安缦,2+1,0.811,True
罗莱夏朵杭州紫萱度假村,2+1,0.711,False
绿城杭州玫瑰园度假酒店,2+1,0.727,True
杭州千禧度假酒店,2+1,0.587,False
浙江西子宾馆,2+1,0.718,False
杭州西湖国宾馆,2+1,0.606,False
杭州酒家,2+1,0.756,True
知味观味庄,2+1,0.875,True
楼外楼,2+1,0.724,True
方老大面,3+4,0.899,True
奎元馆,2+1,0.912,True
打卡,4+1,0.884,True
杭州之门,2+1,0.749,True
春水,3+1,0.621,False
画船,2+3,0.701,False
花船快闪,4+1,0.754,True
汉服,3+3,0.742,True
花神巡游,4+1,0.71,False
花朝集章,4+1,0.745,True
芳菲市集,2+1,0.873,True
伴手礼,3+4,0.788,True
同袍,3+3,0.926,True
社区化,5+1,0.597,False
看书,2+1,0.681,False
喝咖啡,2+1,0.691,False
交流,4+1,0.736,True
手工制作,3+4,0.728,True
花艺,3+3,0.85,True
体验,4+1,0.662,False
鲜花,3+1,0.709,False
围炉,2+1,0.778,True
缤纷水果茶,3+4,0.695,False
绿植,3+1,0.61,False
吉祥物,3+3,0.601,False
跳舞,4+1,0.529,False
囧囧,5+3,0.884,True
憨憨,5+3,0.873,True
可爱,5+3,0.888,True
英雄之歌,3+3,0.562,False
英雄豪迈之气,5+3,0.671,False
燃爆,5+2,0.685,False
元宵气氛,5+2,0.762,True
鸟檐,3+2,0.899,True
闫师傅,2+1,0.9,True
苏师傅,2+1,0.827,True
鱼,3+1,0.987,True
烧鸟,3+4,0.786,True
聊天,4+1,0.607,False
板前椅子,2+3,0.492,False
相册,2+3,0.809,True
照片,5+1,0.779,True
磁场,5+2,0.443,False
纠缠,5+3,0.845,True
食物,3+4,0.971,True
杭州天花板,5+2,0.767,True
幸福,5+3,0.737,True
分享,5+2,0.563,False
小朋友,5+3,0.758,True
露台,2+2,0.76,True
树,3+1,0.525,False
风铃,3+2,0.817,True
春雷,3+1,0.936,True
毯子,2+3,0.612,False
银色屋檐,3+2,0.669,False
朋友,5+3,0.704,False
日出,3+1,0.969,True
打铁花,3+3,0.693,False
傩戏表演,3+3,0.787,True
血脉贲张,5+3,0.535,False
热血沸腾,5+3,0.656,False
视生死置之度外,5+3,0.588,False
奋勇向前,4+1,0.7,False
气势,5+2,0.929,True
热血英歌,3+3,0.813,True
吉祥里街区,2+1,0.865,True
两层小楼,2+1,0.628,False
栅栏,2+3,0.656,False
旋转楼梯,2+1,0.6,False
白色矮墙,3+2,0.963,True
童话,5+3,0.739,True
精灵,3+3,0.724,True
古灵精怪,5+3,0.792,True
橙黄色透明亚克力隔板,2+3,0.524,False
小物件,2+3,0.605,False
橙黄色长条瓷砖,3+2,0.591,False
半墙,3+2,0.772,True
外文书,2+1,0.802,True
拱形走廊,2+2,0.714,False
书架,2+1,0.691,False
儿童少年文学,3+4,0.727,True
文创,3+4,0.773,True
小圆桌,2+2,0.481,False
