目标词,匹配词,相似度,是否匹配
蟠龙天地,3+2,0.881,True
Culture,3+3,0.65,False
Nature,3+1,0.871,True
古寺鸣钟,3+2,0.773,True
十字街,2+1,0.763,True
香花桥,3+2,0.971,True
溪桥渔泊,3+2,0.88,True
烟雨廊桥,3+2,0.802,True
程祠故里,3+2,0.861,True
龙江古渡,3+2,0.918,True
曲水萦居,3+2,0.823,True
蟠龙湾,3+1,0.721,True
艺海听竹,2+1,0.728,True
余德耀美术馆,2+1,0.802,True
儿童乐园,2+1,0.652,False
宠物乐园,2+1,0.726,True
户外探索,4+1,0.681,False
蟠龙水集,3+1,0.799,True
沿河咖啡,2+1,0.785,True
各色美食,3+4,0.689,False
品茶,2+1,0.938,True
古建,3+2,1.0,True
古镇style,3+2,0.857,True
现代商场,2+1,0.728,True
吃吃喝喝,5+2,0.888,True
遛弯遛娃遛宠,4+1,0.694,False
遛宠物,4+1,0.662,False
遛娃,4+1,0.658,False
遛宠,4+1,0.84,True
场地,2+2,0.775,True
停车,2+3,0.862,True
消费,5+1,0.539,False
选择,4+1,0.627,False
没踩雷,5+3,0.675,False
古镇格局,3+2,0.845,True
古镇建筑体量,3+2,0.811,True
主路空间,2+2,0.697,False
大块青石板老料,3+2,0.693,False
新材料拼接,3+2,0.6,False
小栋建筑原有外立面,3+2,0.69,False
韵味,5+2,0.847,True
沿河岸餐厅咖啡店景观位,2+1,0.741,True
小桥流水,3+1,0.804,True
宠物友好,2+3,0.56,False
带狗子玩儿,4+1,0.587,False
爱狗人士好感度,5+2,0.527,False
文化,3+3,0.655,False
创意,5+2,0.796,True
场景,2+2,0.693,False
商业,5+1,0.726,True
社区,2+1,0.797,True
文化品牌,3+3,0.698,False
城市叙事,5+2,0.704,False
社区氛围,5+2,0.603,False
吸引力,5+3,0.765,True
城市微度假,4+1,0.783,True
商业面貌,5+1,0.75,True
文化赋能,3+3,0.579,False
烟雨朦胧,3+1,0.888,True
雨季,3+1,0.879,True
周未,5+2,0.678,False
街区人气,5+1,0.669,False
场所,2+1,0.821,True
街区,2+1,0.87,True
河,3+1,0.942,True
1400多年,3+2,0.807,True
旧址改建,2+1,0.668,False
公园绿地,3+1,0.714,False
公园式商业,2+1,0.597,False
古镇原貌,3+2,0.856,True
商业水平不高,5+1,0.863,True
童年的梦,5+3,0.691,False
江南六大古镇,3+5,0.749,True
景区式商业同质化,5+1,0.588,False
枫泾古镇,3+2,0.888,True
新场古场,3+2,0.766,True
天地系列,3+3,0.708,False
商业项目,2+1,0.661,False
守旧中创新,5+2,0.749,True
物业形态,2+1,0.758,True
传统江南古镇,3+2,0.874,True
COCO-MAT酒店,2+1,0.589,False
建筑,3+2,0.857,True
江南古镇雏形,3+2,0.861,True
空间材料景观焕新,3+2,0.484,False
江浙沪古镇,3+5,0.82,True
配套商业部分运营,2+3,0.525,False
自身优势,5+1,0.599,False
新天地商业IP,2+1,0.718,False
强大优势,5+1,0.618,False
商业部分自持运营,5+1,0.706,False
小业主干扰,5+1,0.531,False
商业价值提升,5+1,0.56,False
区域版块价值拉升,5+1,0.552,False
万科良渚文化村,2+1,0.794,True
自持商业部分玉鸟流苏食街玉鸟集前身,2+1,0.616,False
君澜度假酒店,2+1,0.627,False
大屋顶艺术中心,2+1,0.684,False
教堂,2+1,0.704,False
养老社区,2+1,0.59,False
茶语公园,2+1,0.804,True
文化村整体版块价值提升,3+3,0.438,False
操盘思路,5+1,0.776,True
类似之处,5+2,0.811,True
微度假社区模式,5+1,0.462,False
商业业态选择,2+1,0.557,False
更新改造后的商业街区,5+1,0.527,False
臭豆腐,3+4,0.796,True
土特产,3+4,0.901,True
腊肉腊肠,3+4,0.936,True
现代场景商业,2+1,0.598,False
反哺周边社区配套,2+3,0.636,False
区域商业,5+1,0.688,False
旅游景区失落感,5+3,0.539,False
江南水乡,3+1,0.947,True
白墙青瓦,3+2,0.647,False
餐厅,2+1,0.717,False
工艺小店,2+1,0.764,True
小巷,3+2,0.936,True
店铺,2+1,0.686,False
河面,3+1,0.928,True
临水建筑,2+2,0.716,False
树木,3+1,0.91,True
光影,3+1,0.777,True
烟火气,5+2,0.837,True
水边,3+1,0.896,True
古镇夜景,3+1,0.794,True
木船,2+3,0.818,True
小摊,2+3,0.878,True
彩扇,3+4,0.867,True
乐器,3+3,0.669,False
宠物公园,2+3,0.599,False
草坪,3+1,0.615,False
骑马场,2+1,0.72,False
水曲桥,3+2,0.969,True
河道,3+1,0.941,True
广场,2+2,0.716,False
白鸽,3+1,0.803,True
特别,5+3,0.733,True
古镇,3+2,0.853,True
商业化,5+1,0.796,True
融合,5+2,0.661,False
网红,5+1,0.861,True
长红,5+2,0.83,True
微度假,5+2,0.687,False
文旅,3+3,0.718,False
海底捞,3+4,0.774,True
日常Gap感,5+2,0.76,True
西岸梦中心,3+5,0.71,False
气质,5+2,0.695,False
松弛,5+2,0.929,True
探索,4+1,0.68,False
发现欲望,5+3,0.598,False
趣味,5+3,0.734,True
悠闲,5+2,0.915,True
好看,5+2,0.9,True
好玩,5+3,0.703,False
好逛,5+2,0.929,True
好吃,5+2,0.789,True
UrbanRetreat城市微度假目的地,5+2,0.595,False
住宅,2+1,0.79,True
酒店,2+1,0.694,False
绿地,3+1,0.726,True
开放式街区形态,3+2,0.692,False
公园里的新天地,2+1,0.628,False
仿古商业街区,2+1,0.908,True
朋友聚会,4+1,0.678,False
休闲地,2+1,0.819,True
交通便利,5+1,0.544,False
地下停车场,2+3,0.651,False
花园草坪,3+1,0.591,False
晒太阳,4+1,0.695,False
地铁,2+3,0.521,False
游玩场地,2+2,0.738,True
蓝瓶咖啡,2+1,0.585,False
宁波特产糕点坊,2+1,0.747,True
中式蛋糕,3+4,0.778,True
江南水乡风情,3+1,0.954,True
商业街巷,2+1,0.889,True
