目标词,匹配词,相似度,是否匹配
白墙黑瓦,3,1.0,True
飞檐翘角,3,0.917,True
玻璃幕墙,2,0.653,False
街巷,3,1.0,True
水波荡漾,3,0.895,True
祥符桥,3,0.981,True
平波桥,3,0.95,True
卧虹桥,3,0.936,True
小店,2,0.813,True
咖啡香,2,0.719,False
茶香,3,0.915,True
手工艺品,3,1.0,True
砖木二层结构,3,0.768,True
大片青砖墙,3,0.772,True
水泥装饰线条,3,0.708,False
几何装饰花纹,3,0.689,False
中式琉璃花窗,3,0.637,False
石料门框,3,0.776,True
黑漆厚木门扇,3,0.801,True
风火山墙,3,0.718,False
西式装饰构件,3,0.764,True
上海市优秀历史建筑,3,0.674,False
外观保存情况甚佳,3,0.651,False
潮汕英歌舞,3,0.814,True
中华战舞,4,0.821,True
舞者,4,0.595,False
步伐,5,0.84,True
身法,3,0.847,True
英歌舞,3,0.887,True
蛟龙出海,3,0.673,False
刚劲迅猛,5,0.776,True
彩凤展翅,3,0.822,True
灵动轻盈,5,0.856,True
中华文化,3,0.819,True
传承,3,0.811,True
春节,4,0.696,False
活动,4,0.723,True
文化街区,2,0.73,True
祥符桥传统风貌街区,3,0.798,True
老街新造,3,0.918,True
散步,4,0.674,False
解决晚饭,4,0.755,True
河边,3,0.972,True
业态,2,0.758,True
书店,2,0.766,True
美学生活空间,2,0.704,False
餐厅,2,0.681,False
奶茶店,2,0.694,False
咖啡馆,2,0.642,False
酒吧,2,0.65,False
茶室,2,0.834,True
涂鸦滑板的运动场地,2,0.557,False
落日音乐会,4,0.561,False
花食酒肆,2,0.912,True
夏日限定泳池,2,0.594,False
露天电影,4,0.655,False
山外事茶吧,2,0.955,True
全景,3,0.903,True
香茗,2,0.915,True
球形灯,2,0.837,True
驱蚊工作,2,0.556,False
灯火辉煌,5,0.915,True
浪漫氛围,5,0.629,False
拍照,4,1.0,True
拱墅运河体育公园,2,0.608,False
大兜路历史文化街区,3,0.812,True
小河历史文化街区,3,0.78,True
小河公园,2,0.68,False
拱宸桥西历史文化街区,3,0.779,True
传统风貌,3,0.771,True
现代活力,5,0.752,True
宋代运河文化,3,0.77,True
市井风貌,3,0.856,True
古建元素,3,0.872,True
现代风格,3,0.718,False
江南风韵,3,0.974,True
新潮业态,2,0.728,True
祥符记号,3,0.843,True
祥符市井文化,3,0.837,True
花木文化,3,0.755,True
茶道文化,3,0.75,True
美术馆,2,0.865,True
餐饮,2,0.722,True
滑板运动品牌,4,0.551,False
高品质公共空间,2,0.494,False
茶冻,3,0.863,True
亲切,5,0.926,True
参观,4,0.83,True
茶叶种类,3,0.843,True
茶袋,2,0.825,True
尺八,3,0.772,True
葫芦丝,3,0.94,True
古琴,3,0.94,True
茶点,3,0.858,True
精致,5,0.923,True
红茶,3,0.898,True
桂花蜜糖,3,0.937,True
甜,3,0.859,True
味,3,0.884,True
古色古朴,3,0.885,True
融合,5,0.751,True
居民活动,4,0.743,True
闹中取静,5,0.842,True
氛围,5,0.748,True
舒适,5,0.726,True
平和,5,0.636,False
江南风格,3,0.888,True
