目标词,匹配词,相似度,是否匹配
蟠龙天地,3,0.918,TRUE
Culture,3,0.925,TRUE
Nature,3,0.871,TRUE
古寺鸣钟,3,0.773,TRUE
十字街,2,0.763,TRUE
香花桥,3,0.971,TRUE
溪桥渔泊,3,0.88,TRUE
烟雨廊桥,3,0.802,TRUE
程祠故里,3,0.87,TRUE
龙江古渡,3,0.931,TRUE
曲水萦居,3,0.84,TRUE
蟠龙湾,3,0.787,TRUE
艺海听竹,2,0.728,TRUE
余德耀美术馆,2,0.906,TRUE
儿童乐园,2,0.652,FALSE
宠物乐园,2,0.726,TRUE
户外探索,4,0.681,FALSE
蟠龙水集,3,0.802,TRUE
沿河咖啡,2,0.803,TRUE
各色美食,3,0.743,TRUE
品茶,2,0.938,TRUE
古建,3,1,TRUE
古镇style,3,0.947,TRUE
现代商场,2,0.728,TRUE
吃吃喝喝,5,0.888,TRUE
遛弯遛娃遛宠,4,0.694,FALSE
遛宠物,4,0.662,FALSE
遛娃,4,0.658,FALSE
遛宠,4,0.84,TRUE
场地,2,0.827,TRUE
停车,2,0.862,TRUE
消费,5,0.591,FALSE
选择,4,0.627,FALSE
没踩雷,5,0.832,TRUE
古镇格局,3,0.963,TRUE
古镇建筑体量,3,0.837,TRUE
主路空间,2,0.697,FALSE
大块青石板老料,3,0.697,FALSE
新材料拼接,3,0.638,FALSE
小栋建筑原有外立面,3,0.694,FALSE
韵味,5,0.931,TRUE
沿河岸餐厅咖啡店景观位,2,0.741,TRUE
小桥流水,3,0.978,TRUE
宠物友好,2,0.578,FALSE
带狗子玩儿,4,0.587,FALSE
爱狗人士好感度,5,0.527,FALSE
文化,3,0.953,TRUE
创意,5,0.796,TRUE
场景,2,0.834,TRUE
商业,5,0.913,TRUE
社区,2,0.797,TRUE
文化品牌,3,0.802,TRUE
城市叙事,5,0.836,TRUE
社区氛围,5,0.627,FALSE
吸引力,5,0.798,TRUE
城市微度假,4,0.783,TRUE
商业面貌,5,0.951,TRUE
文化赋能,3,0.94,TRUE
烟雨朦胧,3,0.932,TRUE
雨季,3,0.879,TRUE
周未,5,0.678,FALSE
街区人气,5,0.864,TRUE
场所,2,0.821,TRUE
街区,2,0.87,TRUE
河,3,0.957,TRUE
1400多年,3,0.807,TRUE
旧址改建,2,0.751,TRUE
公园绿地,3,0.739,TRUE
公园式商业,2,0.597,FALSE
古镇原貌,3,0.967,TRUE
商业水平不高,5,0.885,TRUE
童年的梦,5,0.734,TRUE
江南六大古镇,3,0.858,TRUE
景区式商业同质化,5,0.718,FALSE
枫泾古镇,3,0.888,TRUE
新场古场,3,0.766,TRUE
天地系列,3,0.714,FALSE
商业项目,2,0.661,FALSE
守旧中创新,5,0.749,TRUE
物业形态,2,0.758,TRUE
传统江南古镇,3,0.906,TRUE
COCO-MAT酒店,2,0.813,TRUE
建筑,3,0.857,TRUE
江南古镇雏形,3,0.903,TRUE
空间材料景观焕新,3,0.541,FALSE
江浙沪古镇,3,0.958,TRUE
配套商业部分运营,2,0.605,FALSE
自身优势,5,0.683,FALSE
新天地商业IP,2,0.718,FALSE
强大优势,5,0.754,TRUE
商业部分自持运营,5,0.766,TRUE
小业主干扰,5,0.586,FALSE
商业价值提升,5,0.705,FALSE
区域版块价值拉升,5,0.552,FALSE
万科良渚文化村,2,0.794,TRUE
自持商业部分玉鸟流苏食街玉鸟集前身,2,0.616,FALSE
君澜度假酒店,2,0.851,TRUE
大屋顶艺术中心,2,0.744,TRUE
教堂,2,0.839,TRUE
养老社区,2,0.59,FALSE
茶语公园,2,0.804,TRUE
文化村整体版块价值提升,3,0.615,FALSE
操盘思路,5,0.844,TRUE
类似之处,5,0.811,TRUE
微度假社区模式,5,0.585,FALSE
商业业态选择,2,0.557,FALSE
更新改造后的商业街区,5,0.713,FALSE
臭豆腐,3,0.796,TRUE
土特产,3,0.901,TRUE
腊肉腊肠,3,0.965,TRUE
现代场景商业,2,0.627,FALSE
反哺周边社区配套,2,0.67,FALSE
区域商业,5,0.787,TRUE
旅游景区失落感,5,0.601,FALSE
江南水乡,3,0.947,TRUE
白墙青瓦,3,0.967,TRUE
餐厅,2,0.725,TRUE
工艺小店,2,0.764,TRUE
小巷,3,0.938,TRUE
店铺,2,0.686,FALSE
河面,3,1,TRUE
临水建筑,2,0.814,TRUE
树木,3,0.91,TRUE
光影,3,0.823,TRUE
烟火气,5,0.953,TRUE
水边,3,0.896,TRUE
古镇夜景,3,0.975,TRUE
木船,2,0.818,TRUE
小摊,2,0.909,TRUE
彩扇,3,0.935,TRUE
乐器,3,0.692,FALSE
宠物公园,2,0.599,FALSE
草坪,3,0.615,FALSE
骑马场,2,0.72,FALSE
水曲桥,3,0.969,TRUE
河道,3,0.969,TRUE
广场,2,0.76,TRUE
白鸽,3,0.904,TRUE
特别,5,0.767,TRUE
古镇,3,1,TRUE
商业化,5,1,TRUE
融合,5,0.751,TRUE
网红,5,0.861,TRUE
长红,5,0.83,TRUE
微度假,5,0.687,FALSE
文旅,3,0.821,TRUE
海底捞,3,0.835,TRUE
日常Gap感,5,0.76,TRUE
西岸梦中心,3,0.782,TRUE
气质,5,0.716,FALSE
松弛,5,0.929,TRUE
探索,4,0.68,FALSE
发现欲望,5,0.645,FALSE
趣味,5,0.766,TRUE
悠闲,5,0.915,TRUE
好看,5,0.9,TRUE
好玩,5,0.842,TRUE
好逛,5,0.929,TRUE
好吃,5,0.792,TRUE
UrbanRetreat城市微度假目的地,5,0.765,TRUE
住宅,2,0.823,TRUE
酒店,2,0.945,TRUE
绿地,3,0.726,TRUE
开放式街区形态,3,0.764,TRUE
公园里的新天地,2,0.628,FALSE
仿古商业街区,2,0.908,TRUE
朋友聚会,4,0.678,FALSE
休闲地,2,0.819,TRUE
交通便利,5,0.703,FALSE
地下停车场,2,0.783,TRUE
花园草坪,3,0.642,FALSE
晒太阳,4,0.695,FALSE
地铁,2,1,TRUE
游玩场地,2,0.872,TRUE
蓝瓶咖啡,2,0.816,TRUE
宁波特产糕点坊,2,0.751,TRUE
中式蛋糕,3,0.778,TRUE
江南水乡风情,3,0.954,TRUE
商业街巷,2,0.889,TRUE
童心乐园,3,0.87,TRUE
商业氛围,5,0.952,TRUE
闲散,5,0.913,TRUE
咖啡馆,2,0.729,TRUE
甜点店,2,0.862,TRUE
临河,3,0.975,TRUE
茶馆,2,0.945,TRUE
日落,3,0.935,TRUE
